[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493397900.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '287', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493397900.0, 'sSourceAddr': IP('172.16.2.24'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '99', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493398500.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '287', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493398980.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493399700.0, 'sSourceAddr': IP('172.16.2.88'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '208', 'iAddressNum': '98', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493399700.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '279', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493400180.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493400300.0, 'sSourceAddr': IP('172.16.2.24'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '89', 'iPortNum': '13', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493400900.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '272', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493400900.0, 'sSourceAddr': IP('172.16.2.17'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '91', 'iPortNum': '15', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493401500.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '285', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493401500.0, 'sSourceAddr': IP('172.16.2.106'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '98', 'iPortNum': '17', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493402100.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '287', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493402700.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '282', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493403300.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '269', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493403840.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '15', 'iPortNum': '13', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493404500.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '271', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493405040.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493405700.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '266', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493406300.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '264', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493406900.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '259', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493407500.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '259', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493408100.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '269', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493408640.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '204', 'iAddressNum': '12', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493408640.0, 'sSourceAddr': IP('172.16.2.82'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '96', 'iPortNum': '26', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493409240.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '14', 'iPortNum': '11', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493409840.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '200', 'iAddressNum': '12', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493410440.0, 'sSourceAddr': IP('172.16.2.137'), 'iPortRange': '137:1947', 'sScanType': 'UDP Filtered Portscan', 'iConnectNum': '223', 'iAddressNum': '90', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.255')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493410500.0, 'sSourceAddr': IP('172.16.3.225'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '256', 'iAddressNum': '15', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493411160.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '327', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493411760.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '317', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493412300.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '254', 'iAddressNum': '13', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493412960.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '309', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493413500.0, 'sSourceAddr': IP('172.16.3.69'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '251', 'iAddressNum': '13', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493414100.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '245', 'iAddressNum': '12', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493414640.0, 'sSourceAddr': IP('172.16.2.44'), 'iPortRange': '22:445', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '209', 'iAddressNum': '12', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493415360.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '305', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493415960.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '302', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
[2017-06-21 10:24:32] [REVSCAN] [ERROR] {'iTime': 1493416560.0, 'sSourceAddr': IP('172.16.3.129'), 'iPortRange': '22:443', 'sScanType': 'TCP Filtered Portscan', 'iConnectNum': '309', 'iAddressNum': '14', 'iPortNum': '10', 'sTargetAddr': IP('172.16.2.241')}
